ADDRESS,BUILDING COMPANY NAME
55 CLIFTON PL,55-57 CLITON PL., LLC
989 LAFAYETTE AVE,MAZEL 989 LAFAYETTE AVE, LLC
914 JEFFERSON AVE,ERROL'S AUTO SHOP
1301 BUSHWICK AVE,TRADEMARK DEVELOPMENT GROUP INC., 1301 BUSHWICK AVE LLC
580 WILSON AVE,580 WILSON AVE LLC
220 HIMROD,220 HIMROD LLC
150 NEWELL,150 NEWEL ENTERPRISES LLC
113 STOCKHOLM ST,ETAN, LLC
117 MAUJER ST,MAUJER, LLC
539A MONROE,HPTL HOLDINGS REALTY LLC
1131 DECATUR,DECATUR GOLD, LLC
215 MOFFAT,GOLD MOFFAT LLC
205 MENAHAN ST,EMILIO PROPERTY, LLC
181 KNICKERBOCKER,EMILIO REALTY CORP.
970 MADISON ST,,970 MADISON, LLC
8-73 WYCKOFF,8-73 WYCKOFF AVE, LLC
72 BLEECKER,72 BLEECKER USA, LLC
431 MARION ST,BEYONE LIMITS, INC.
1018 PARK PLACE,1018 PARK PLACE, LLC
911 JEFFERSON AVE,BMW REALTY, LLC
100 STARR,STARR LOFTS LLC
736 DECATUR,NADINE BLACK
22 WEIRFIELD,22 WEIRFIELD LLC
